Wines,Price,Category,Grapes 1,Grapes 2,Grapes 3,Grapes 4,Region 1,Region 2,Region 3,Region 4,Alcohol,Food Pairing,Notes,Link
"Sergio Mottura - Orvieto ""Tragugnano"" DOC 2021",61,"White, Dry, Still",Procanico 45 %,Grechetto 20,Rupeccio 10,,"Tuscany, Italy","Umbria, Italy",,,13.50%,"As an aperitif accompanied by tomato and basil bruschetta, fresh pecorino cheese or mozzarella, asparagus risotto, fettuccini with butter and sage, gnocchi ""alla romana"", spaghetti in a tuna or tomato sauce","Pale yellow with natural golden highlights In its first year its bouquet is sweet and warm with a fragrance of wild mustard flowers and vanilla; maturity reveals stronger scents such as wild mint, sage, thyme and resins In the mouth it is dry but rounded, complex and persistent",https://www.winelistasia.com/store/p474/Sergio_Mottura_-_Orvieto_%22Tragugnano%22_DOC_2021.html
"Cantele - Chardonnay Puglia ""Cantele"" IGP 2022",54,"White, Dry, Still",100% Chardonnay,,,,"Burgundy, France",,,,13.00%,"Drink with all fish including shellfish, vegetables and soft cheeses","Straw yellow with hints of green Notes of lily, magnolia, juniper, and linden are followed by ripe fruit and seductive herbaceous aromas The alcoholic structure and freshness in this wine reward the wine lover with its drinkability and approachability. Its rich finish mirrors its aromas with great balance",https://www.winelistasia.com/store/p482/Cantele_-_Chardonnay_Puglia_%22Cantele%22_IGP_2022.html
"Cantele - Malvasia Bianca ""Rohesia"" IGP 2022",63,"White, Dry, Still",100% Malvasia Bianca,,,,"Emilia - Romagna, Italy",,,,13.50%,Ideal with fish even with elaborated dishes and raw seafood. Excellent with Mediterranean vegetable dishes and young cheeses,Gold hints on straw pale yellow give a preview of the wine‚Äôs vibrant freshness and tenacity Apricot and peach alternated by delicate freesia notes and fresh moss The same fruits and floral notes reappear on the palate with the wine‚Äôs brilliant acidity prolonging their aromatic flavors in the mouth. The balance freshness and delicacy give this wine particularly harmonious in all of its elements,https://www.winelistasia.com/store/p483/Cantele_-_Malvasia_Bianca_%22Rohesia%22_IGP_2022.html
"Cantele - Bianco Puglia ""Telero"" IGP 2021",45,"White, Dry, Still",100% Bombino,,,,Puglia,,,,12.50%,Great with shellfish or roasted vegetables,"4 Straw pale yellow color Aromas of white blossom and pear Clean and dry on the palate, there are also tropical notes of banana and pineapple",https://www.winelistasia.com/store/p484/Cantele_-_Bianco_Puglia_%22Telero%22_IGP_2021.html
"Cantele - Chardonnay ""Teresa Manara"" IGP 2022",69,"White, Dry, Still",100% Chardonnay,,,,"Burgundy, France",,,,13.50%,"Versatile wine, it matches with fish dishes, vegetables, white meat and cheese. Try it with lightly fried food and particularly mushrooms","Intense straw yellow with nuanced golden and green tones Spicy aromas emerge immediately on the nose, giving way to a rainbow of overflowing floral and fruit aromas. Acacia and vine flowers together with local and exotic, ripe fruit Silky in the mouth, velvety and mellifluous, with freshness and sweet spices imparted by selected wood used during aging. The finish wins over the drinker with its length and its terroir expression",https://www.winelistasia.com/store/p485/Cantele_-_Chardonnay_%22Teresa_Manara%22_IGP_2022.html
"Cantele - Chardonnay VT ""Teresa Manara"" IGP 2021",92,"White, Dry, Still",100% Chardonnay (late Harvest),,,,"Burgundy, France",,,,14.50%,"Versatile wine, it matches with fish dishes, vegetables, white meat and cheese. Try it with lightly fried food and particularly mushrooms","Translucent golden yellow Robust, fresh notes of lime, grapefruit, yellow orange, and lime tree A soft white that rides on refreshing acidity. Thirst-quenching but full-bodied and confident with notes of yellow peach, acacia honey, raw almonds, and hazelnut. The finish delivers an intensely salty, passionate Mediterranean flourish",https://www.winelistasia.com/store/p486/Cantele_-_Chardonnay_VT_%22Teresa_Manara%22_IGP_2021.html
"Cantele - Verdeca Puglia ""Cantele"" IGP 2021",55,"White, Dry, Still",100% Verdeca,,,,Puglia (Salento),,,,13.00%,"Light fish, vegetables and light cheeses","Intense straw yellow with hints of green Intense and persistent. Fruity with clean notes of quince, elderberry, and pear tree aromas. Classic balsamic finish with notes of rosemary and sage Intense, clean, and fresh with a light aromatic note. Seductive, persistent finish with aromatic complexity",https://www.winelistasia.com/store/p491/Cantele_-_Verdeca_Puglia_%22Cantele%22_IGP_2021.html
"Baglio di Pianetto - Etna Bianco ""Fermata 125"" DOC 2020",80,"White, Dry, Still",100% Carricante,,,,"Sicily, Italy",,,,12.50%,This is the perfect wine to accompany traditional Mediterranean first courses as well as those of Asian cuisine,"Appealing shimmering straw-yellow colour Incisive, citrus-edged scents of orange and acacia blossom Beautifully-balanced in the mouth, its multi-layered fruit progresses to a long-lingering finish with a pungent note of balsamic",https://www.winelistasia.com/store/p494/Baglio_di_Pianetto_-_Etna_Bianco_%22Fermata_125%22_DOC_2020.html
"Ci˘ Ci˘ - Spumante Brut ""Merlettaie"" DOP NV",54,"White, Dry, Sparkling",100% Pecorino,,,,"Marche/Abruzzo, Italy",,,,12.50%,Ideal for aperitif and fish plates,"Deep straw-yellow with green shades Scent very intense and persistent, grassy and hawthorn blossoms aroma Flavour fresh and sapid, it happens to be agreeable and soft to the palate",https://www.winelistasia.com/store/p496/Ci%C3%B9_Ci%C3%B9_-_Spumante_Brut_%22Merlettaie%22_DOP_NV.html
"Lvnae Bosoni - Diego Bosoni ""Padre Figlio"" IGT NV",92,"White, Dry, Still",100% Vermentino (orange Wine),,,,"Sardinia/Liguria/Tuscany, Italy",,,,13.00%,"Particularly suitable for the most substantial dishes of Ligurian cuisine such as stockfish, stewed tripe, poultry, soups and fish","Golden yellow colour Intense, complex with hints of flowers, ripe fruits and Mediterranean scrub Same sensations of the nose enriched by a subtle hint of almond. Ample, enveloping body supported by a good freshness",https://www.winelistasia.com/store/p499/Lvnae_Bosoni_-_Diego_Bosoni_%22Padre_Figlio%22_IGT_NV.html
Omina Romana - Bianco Hermes Diactors II IGT 2021,52,"White, Dry, Still",62% Viognier,13% Petit Manseng,12% Chardonnay,,"Northern Rhone, France",,"Burgundy, France",,13.50%,Whipped salt cod (baccal‡) or a mild white fish such as baked sea bass poached in rice wine and miso,"Medium straw, legs and tears Fruit forward, warm apricots, tropical fruits like guava and papaya, citrus, intense jasmine scent, calendula and white nougat Creamy texture, dense structure, fresh fruit and acidity, medium-bodied, dry and fruit driven finish",https://www.winelistasia.com/store/p500/Omina_Romana_-_Bianco_Hermes_Diactors_II_IGT_2021.html
"Villa Franciacorta - Extra Brut ""Blu"" DOCG 2018",110,"White, Dry, Sparkling",Chardonnay Grapes,10% Pinot,,,"Burgundy, France",,,,12.50%,"Steamed fish, or delicate fish or vegetable based first course dishes. Also excellent as an aperitif","Straw yellow, fine persistent bubbles The nose displays elegant fl oral accents, fresh fruits, and yeasts Fine persistent bubbles caress the palate, exalting the wine‚Äôs alluring softness and elegant structure",https://www.winelistasia.com/store/p571/Villa_Franciacorta_-_Extra_Brut_%22Blu%22_DOCG_2018.html
"Bindi Sergardi - Bianco Toscana ""Bindo'"" IGT 2022",52,"White, Dry, Still",50% Malvasia,20% Chardonnay,,,Italy,"Burgundy, France",,,12.00%,"Suitable as an aperitif, excellent accompanied with fish as a tradition","Light in color with golden highlights An intense bouquet, with hints of peach and pear Fresh and tasty, mineral with good acidity",https://www.winelistasia.com/store/p574/Bindi_Sergardi_-_Bianco_Toscana_%22Bindo%27%22_IGT_2022.html
"Sartori - Rosso delle Venezie ""L'Appassione"" IGT 2021",49,"Red, Dry, Still",60% Corvina,10% Rondinella,,,"Veneto, Italy","Veneto, Italy",,,13.00%,"Ideal match for main courses, grilled meats, roasts, savory cheese and smoked ham","Vivid garnet red Intense and persistent bouquet of red fruits and spices, tobacco and leather Full bodied, round, pleasing, slightly dry and velvety, with a harmonious soft-textured body",https://www.winelistasia.com/store/p9/Sartori_-_Rosso_delle_Venezie_%22L%27Appassione%22_IGT_2021.html
Sartori - Valpolicella Classico DOC 2021,52,"Red, Dry, Still",70% Corvina,10% Molinara,,,"Veneto, Italy","Veneto, Italy",,,12.50%,"Perfect with pastas, grilled chicken and mild cheeses","Deep ruby with violet flashes Black fruit, spices, ripe cherry, balsamic notes Cherries are the dominant flavour, with hints of vanilla",https://www.winelistasia.com/store/p11/Sartori_-_Valpolicella_Classico_DOC_2021.html
"Sartori - Valpolicella Classico Superiore ""Montegradella"" DOC 2020",58,"Red, Dry, Still",45% Corvina,20% Rondinella,5% Croatina,,"Veneto, Italy","Veneto, Italy",,,13.00%,"Montegradella makes an ideal accompaniment to roasted red meats and game. It is excellent with aged cheeses, and a perfect match with white or black truffles","Intense ruby red Ripe fruit with notes of cassis, plum and herbs Medium to full body with juicy fruit flavours, suppletannins, and a lingering finish Awards: 2011 - Wine Spectator: 87 points2006 - Vinous: 89 points2006 - Vinous: 88 points",https://www.winelistasia.com/store/p12/Sartori_-_Valpolicella_Classico_Superiore_%22Montegradella%22_DOC_2020.html
"Sartori - Valpolicella Classico Superiore Ripasso ""Regolo"" DOC 2021",61,"Red, Dry, Still",55% Corvina,15% Rondinella,5% Croatina,,"Veneto, Italy","Veneto, Italy",,,13.50%,"Good with pasta dressed with rich sauces (based on meat or mushrooms), good with risotto, grilled red meat, roasts and well-aged cheeses","Ruby red with garnet hues Berries, black currants, black cherries, and spices and with hints of chocolate Rich, full-bodied, dry and velvety, packed with bakedfruit, dried fruit, and hints of cocoa and vanilla on the lingering finish Awards: 2012 - International Wine Challenge: Silver2012 - Wine Enthusiast Magazine: 89 points",https://www.winelistasia.com/store/p13/Sartori_-_Valpolicella_Classico_Superiore_Ripasso_%22Regolo%22_DOC_2021.html
"Sartori - Recioto della Valpolicella ""Rerum"" DOC 2021 (500ml)",90,"Red, Sweet, Still",50% Corvina,15% Rondinella,5% Cabernet Sauvignon,,"Veneto, Italy","Veneto, Italy","Bordeaux, France",,13.00%,"Dark chocolate desserts, almond cakes, pastafrolla and biscotti.","Lush, dark ruby red Its bouquet shows fine cherry and blackberry jam aromas against a subtle vanilla background On the palate it offers ample black cherry flavours supported by sweet tannins",https://www.winelistasia.com/store/p14/Sartori_-_Recioto_della_Valpolicella_%22Rerum%22_DOC_2021_%28500ml%29.html
"Sartori - Amarone della Valpolicella Classico ""Reius"" DOCG 2019",106,"Red, Dry, Still",50% Corvina,15% Rondinella,5% Cabernet Sauvignon,,"Veneto, Italy","Veneto, Italy","Bordeaux, France",,15.00%,"Ideal with red meat, game and mature cheeses. Fine after-dinner drink","Intense red in colour with shades of garnet Red fruit jam, plums and baked cherries and hints of toasted coffee Full and velvety body, cherries preserved in spirit, bitter cocoa and hints of spice on the finish",https://www.winelistasia.com/store/p17/Sartori_-_Amarone_della_Valpolicella_Classico_%22Reius%22_DOCG_2019.html
ZAO - Amarone della Valpolicella Classico DOC 2008,358,"Red, Dry, Still",30% Corvina,30% Rondinella,10% Oseleta,,"Veneto, Italy","Veneto, Italy",,,15.50%,"Ideal matching with aged cheese, courtyard meet and game, proportionally dosed jams","Intense deep ruby colour The alcohol is well sustained by the fruit entirety as cherry, prune, black currant, mulberry, lightly spicy towards nutmeg Compact, wide and persistent with in addiction balsamic notes sustained by good acidity and tannin",https://www.winelistasia.com/store/p37/ZAO_-_Amarone_della_Valpolicella_Classico_DOC_2008.html
"ColleMassari - Montecucco Rosso ""Rigoleto"" DOC 2020",60,"Red, Dry, Still",70% Sangiovese,15% Montepulciano,,,"Tuscany, Italy","Abruzzo, Italy",,,13.00%,"Go well with tomato pasta with Mediterranean herbs, chickenbreast salad and with seafood soups","Intense ruby red Large and fresh, vinous and vibrant notes, of red and ripe fruit Soft and tasty, with sweet tannins and a jaunty acidity with fruity notes on the final",https://www.winelistasia.com/store/p40/ColleMassari_-_Montecucco_Rosso_%22Rigoleto%22_DOC_2020.html
"ColleMassari - Montecucco Rosso Riserva ""ColleMassari"" DOC 2020",71,"Red, Dry, Still",80% Sangiovese,10% Cabernet Sauvignon,,,"Tuscany, Italy","Bordeaux, France",,,14.50%,"Goes well with roast and braised red meats, game and aged cheese","Deep ruby red colour Clear notes of small black fruit, then emerge progressively aromas of sweet and balsamic spices Soft and harmonious, with a full and structured tannin. The final is broad and enveloping, of great length Awards: 2011 - Vinum: 90 points2012 - James Suckling: 91 points2012 - Wine Spectator: 89 points2012 - Wine Advocate: 90 points",https://www.winelistasia.com/store/p41/ColleMassari_-_Montecucco_Rosso_Riserva_%22ColleMassari%22_DOC_2020.html
"ColleMassari - Montecucco Sangiovese Riserva ""Poggio Lombrone"" DOCG 2015",138,"Red, Dry, Still",100% Sangiovese,,,,"Tuscany, Italy",,,,15.50%,"Goes well with game, as e.g. local preparations of wild boar, roast, braised and stewed red meats, medium aged cheese","Intense ruby red Intense aromatic persistence and depth, aromas of cherries and red berries with a sweet spice and mineral sensations Firm and fragrant, remarkable freshness and varietal tannins, finish is persistent and tasty. Very long ageing capacity Awards: 2010 - Vinum: 93 points2011 - Vinum: 92 points2011 - Wine Spectator: 92 points2011 - Gambero Rosso: 3 Glasses",https://www.winelistasia.com/store/p42/ColleMassari_-_Montecucco_Sangiovese_Riserva_%22Poggio_Lombrone%22_DOCG_2015.html
Grattamacco - Rosso Bolgheri DOC 2023,91,"Red, Dry, Still",60% Cabernet Sauvignon,10% Merlot,10% Sangiovese,,"Bordeaux, France","Bordeaux, France","Tuscany, Italy",,13.50%,"Suitable for all meals, but best with typical Tuscan cuisine","Ruby red Fresh and intense with fruity and balsamic predominantly. Completing the bouquet pepper and mineral aromas Plump cherry is the protagonist but the wine also offers integrated tones of spice, leather and tobacco Awards: 2011 - Vinum: 90 points2012 - James Suckling: 91 points2013 - Wine Spectator: 92 points2013 - James Suckling: 92 points",https://www.winelistasia.com/store/p44/Grattamacco_-_Rosso_Bolgheri_DOC_2023.html
"Grattamacco - Rosso Bolgheri Superiore ""L'Alberello"" DOC 2021",160,"Red, Dry, Still",70% Cabernet Sauvignon,5% Petit Verdot,,,"Bordeaux, France",,,,14.00%,"Aged cheeses, lamb chops","Intense ruby red Cassis, roasted and toasted dark fruit, char, very much a Cabernet nose Complex dark fruit, licorice, strong and long on the finish Awards: 2014 - James Suckling: 94 points2014 - Wine Advocate: 94+ points",https://www.winelistasia.com/store/p45/Grattamacco_-_Rosso_Bolgheri_Superiore_%22L%27Alberello%22_DOC_2021.html
"Podere Fortuna - Pinot Nero Toscana ""Fortuni"" IGT 2011",148,"Red, Dry, Still",100% Pinot Noir,,,,"Tuscany, Italy",,,,14.00%,"Duck and other game birds, casseroles or, of course, stews like beef",Ruby red of medium intensity with light purple Intense fruity bouquet with a concentrated morello cherry and raspberry Elegant and balanced with silky tannins. The final taste is long with fruity aromas of blackcurrant and raspberry Awards: 2009 - Vini Veronelli: 88 points2010 - Vini Veronelli: 89 points,https://www.winelistasia.com/store/p71/Podere_Fortuna_-_Pinot_Nero_Toscana_%22Fortuni%22_IGT_2011.html
"Podere Fortuna - Pinot Nero Toscana ""Selezione 1465 - MCDLXV"" IGT 2010",237,"Red, Dry, Still",100% Pinot Noir,,,,"Tuscany, Italy",,,,13.50%,"Duck and other game birds, casseroles or, of course, stews like beef",Ruby red of medium intensity with light purple Intense fruity bouquet with a concentrated morello cherry and raspberry Elegant and balanced with silky tannins. The final taste is long with fruity aromas of blackcurrant and raspberry Awards: 2010 - Gambero Rosso: 3 Glasses2010 - Vini Veronelli: 92 points,https://www.winelistasia.com/store/p72/Podere_Fortuna_-_Pinot_Nero_Toscana_%22Selezione_1465_-_MCDLXV%22_IGT_2010.html
Terenzi - Morellino di Scansano DOCG 2020,60,"Red, Dry, Still",100% Sangiovese,,,,"Tuscany, Italy",,,,14.00%,"Particularly suitable for accompanying cold cuts, cheese or meat dishes","Deep ruby red Scents of red fruits and violets, with spicy hints on the finish A wine with well-balanced, soft and persistent tannins. Its freshness makes it very easy to drink Awards: 2013 - Wine Enthusiast Magazine: 89 points2014 - Wine & Spirit Magazine: 86 points2015 - Wine Spectator: 90 points2015 - Wine & Spirit Magazine: 87 points",https://www.winelistasia.com/store/p73/Terenzi_-_Morellino_di_Scansano_DOCG_2020.html
"Terenzi - Rosso Toscano ""Bramaluce"" DOC 2016",74,"Red, Dry, Still",50% Sangiovese,,,,"Tuscany, Italy",,,,14.50%,"Ideal with meat dishes, particularly roasts and game","Ruby red with purple highlights Intense scents of red fruits and black cherries Full-flavoured and elegant, with persistent ripe tannins Awards: 2011 - Wine Enthusiast Magazine: 89 points",https://www.winelistasia.com/store/p74/Terenzi_-_Rosso_Toscano_%22Bramaluce%22_DOC_2016.html
"Terenzi - Rosso Toscana ""Francesca Romana"" IGT 2013",104,"Red, Dry, Still",Merlot,Petit Verdot,,,"Bordeaux, France",,,,14.00%,"It goes particularly well with red meats, roasts, game or moderately mature cheeses","Deep ruby red with garnet tinges Hints of spices and ripe red fruit notes Rounded, warm and full-bodied, with rich spicy tones and a long finish enhanced by ripe, velvety tannins Awards: 2008 - Wine Enthusiast Magazine: 92 points2013 - Wine & Spirit Magazine: 90 points",https://www.winelistasia.com/store/p76/Terenzi_-_Rosso_Toscana_%22Francesca_Romana%22_IGT_2013.html
"Terenzi - Morellino di Scansano Riserva ""Madrechiesa"" DOCG 2015",119,"Red, Dry, Still",100% Sangiovese,,,,"Tuscany, Italy",,,,14.00%,"It goes particularly well with red meats, roasts, game or moderately mature cheeses","Deep ruby red with garnet tinges Red berry fruits, spices and a faint tarry note Full-bodied and well-balanced, with ripe, well-evolved tannins Awards: 2011 - Wine Enthusiast Magazine: 94 points2012 - Gambero Rosso: 3 Glasses2013 - Gambero Rosso: 3 Glasses2013 - Wine Spectator: 92 points",https://www.winelistasia.com/store/p77/Terenzi_-_Morellino_di_Scansano_Riserva_%22Madrechiesa%22_DOCG_2015.html
Romanelli - Montefalco Rosso DOC 2017,63,"Red, Dry, Still",65% Sangiovese,10% Merlot,10% Cabernet Sauvignon,,"Tuscany, Italy","Bordeaux, France","Bordeaux, France",,14.00%,"Pairs well with meat roasts, game, lamb, black truffle and matured cheeses","Deep ruby red in colour The bouquet abounds in wild berries, cherries and plums and enjoyable toasted aromas Balance of tart dark fruit along with a wonderful mouthfeel featuring soft yet grippy tannins Awards: 2009 - Wine Enthusiast Magazine: 87 points2010 - Wine Enthusiast Magazine: 88 points",https://www.winelistasia.com/store/p80/Romanelli_-_Montefalco_Rosso_DOC_2017.html
"Romanelli - Montefalco Rosso Riserva ""Molinetta"" DOCG 2010",109,"Red, Dry, Still",65% Sangiovese,20% Merlot,,,"Tuscany, Italy","Bordeaux, France",,,15.50%,"This wine can be enjoyed with grilled red meats, roast meat, cold cuts and aged cheeses","Deep ruby red in colour The bouquet abounds in wild berries, cherries and plums and enjoyable toasted aromas On the palate, aromas of black fruit and blackberry complement undertones of black cherry, tobacco, and graphit. Fine-grained tannins and well-integrated alcohol result in a silky mouthfeel and perfect structural balance",https://www.winelistasia.com/store/p81/Romanelli_-_Montefalco_Rosso_Riserva_%22Molinetta%22_DOCG_2010.html
Romanelli - Montefalco Sagrantino DOCG 2015,117,"Red, Dry, Still",100% Sagrantino,,,,"Umbria (Montefalco), Italy",,,,15.00%,"Pairs well with meat roasts, game, lamb, black truffle and matured cheeses","Deep ruby red with garnet hues Elegant fruit with blackberry and plums backed up with sweet wood balsamic aftertaste Full and well structured, long and harmoniously balanced. Tannic, with a slightly bitter aftertaste Awards: 2011 - Gambero Rosso: 3 Glasses",https://www.winelistasia.com/store/p82/Romanelli_-_Montefalco_Sagrantino_DOCG_2015.html
"Mascarello Giuseppe e Figlio - Barolo ""Monprivato"" DOCG 2012",367,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,14.00%,"Red meats in general, game, mature cheeses","Clear. Light red Laced with notes of red cherry, raspberry, mint, white pepper and orange peel Sweet and bitter cherry fruits and inner floral tones which lasted into the finish, joined by lingering notes of cedar Awards: 2011 - Wine Spectator: 95 points2011 - Wine Enthusiast Magazine: 95 points2011 - Luca Gardini: 98 points",https://www.winelistasia.com/store/p83/Mascarello_Giuseppe_e_Figlio_-_Barolo_%22Monprivato%22_DOCG_2012.html
"Mascarello Giuseppe e Figlio - Barolo ""Monprivato"" DOCG 2011",367,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,14.00%,"Red meats in general, game, mature cheeses","Clear. Light red Bouquet of rose petals, violets, spices, black cherries and other dark fruit Sweet and bitter cherry fruits and inner floral tones which lasted into the finish, joined by lingering notes of cedar Awards: 2010 - Wine Enthusiast Magazine: 99 points2010 - Wine Advocate: 97 points2010 - Wine Spectator: 96 points2010 - Stephen Tanzer: 96 points",https://www.winelistasia.com/store/p84/Mascarello_Giuseppe_e_Figlio_-_Barolo_%22Monprivato%22_DOCG_2011.html
"Ascheri - Barbera d'Alba ""Fontanelle"" DOC 2023",65,"Red, Dry, Still",100% Barbera,,,,"Piedmont, Italy",,,,13.50%,As an aperitif or with starters: the bitter notes and dry finish whet the appetite and prepare diners to savour the meal. Ideal served with delicately-flavoured dishes such as fish dishes,"Deep ruby red colour with violet nuances Complex, intense bouquet of blackberries, plums, fruit jam and spices Round, harmonious, complex palate full and ripe but fresh and tasty. Remarkably classy wine endowed with finesse Awards: 2009 - Wine Spectator: 88 points2010 - Wine Spectator: 89 points2012 - Wine Enthusiast Magazine: 88 points",https://www.winelistasia.com/store/p85/Ascheri_-_Barbera_d%27Alba_%22Fontanelle%22_DOC_2023.html
"Ascheri - Nebbiolo d'Alba ""San Giacomo"" DOC 2023",71,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,13.50%,"Pair this wine with roasted lamb shank, Bordelaise sauces, and pork torchons","Ruby red colour with garnet red nuances Elegant bouquet, spicy and floral with velvety aromas of black raspberry and roses with a hint of nutmeg Tart cherries, rose petals, and hints of truffles with a long, impressive finish Awards: 2010 - Luca Gardini: 92 points2012 - Wine Enthusiast Magazine: 90 points",https://www.winelistasia.com/store/p86/Ascheri_-_Nebbiolo_d%27Alba_%22San_Giacomo%22_DOC_2023.html
Ascheri - Barbaresco DOCG 2022,99,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,14.00%,"Pair this wine with roasted lamb shank, Bordelaise sauces, and pork torchons","Ruby-red in color with garnet highlights Aromas of dried cherries and rose petals are complemented by undertones of violets, licorice, vanilla, and spices Medium-bodied and rich with flavors of tart cherries, rose petals, and hints of truffles with a long, impressive finish",https://www.winelistasia.com/store/p87/Ascheri_-_Barbaresco_DOCG_2022.html
"Ascheri - Barolo ""Blue Label"" DOCG 2021",107,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,14.00%,"Roasted, skewered and grilled red meats and ripe cheeses","Intense garnet red colour Rich and composite bouquet of sweet spices, dried flowers, leather and undergrowth Licorice, cherry and tar notes mark this intense, chewy red, packed with sweet fruit midpalate and dense, dusty tannins Awards: 2016 - Wine Enthusiast: 92 points2016 - Robert Parker: 92 points2015 - Wine Spectator: 93 points2015 - Robert Parker: 91 points2015 - James Suckling: 93 points2013 - James Suckling: 93 points2012 - James Suckling: 92 points2012 - Wine Spectator: 94 points",https://www.winelistasia.com/store/p88/Ascheri_-_Barolo_%22Blue_Label%22_DOCG_2021.html
"Ascheri - Syrah ""Montalupa"" DOC 2018",105,"Red, Dry, Still",100% Syrah,,,,"Northern Rhone, France",,,,14.50%,"Grilled red meats, game, white and red meat. ìHaute Cuisineî dishes with dark and white sauces","Deep red colour with violet nuances Spicy bouquet, with wide and persistent notes of small fruits, wild flowers of mountain meadows, and liquorice Rich, balanced palate with sweet tannins which give the wine harmony, distinction and intensity Awards: 2008 - Wine Advocate: 91 points",https://www.winelistasia.com/store/p89/Ascheri_-_Syrah_%22Montalupa%22_DOC_2018.html
"Ascheri - Barolo ""Sorano"" DOCG 2015",207,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,14.00%,"Recommended with rich fare, such as truffle scented dishes, roast beef, fillet mignon and medium-aged cheeses.","Bright garnet red colour Complex bouquet with balmy and mint scents blended with small fruits, flowers and sweet spices Full palate, powerful and balanced wine. Harmonious and exceptionally long-live, extraordinarily rich and complex Awards: 2010 - Wine Enthusiast Magazine: 95 points2011 - Wine Advocate: 91 points2011 - Wine Enthusiast Magazine: 93 points2011 - James Suckling: 91 points",https://www.winelistasia.com/store/p90/Ascheri_-_Barolo_%22Sorano%22_DOCG_2015.html
"Ascheri - Barolo ""Pisapola"" DOCG 2019",176,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,14.00%,"Perfect with red and braised meat, game and aged cheese","Garnet colour with orange hues that become more intense over time It presents tight and balanced intensity with wild berry aromas, spice, tobacco and licorice The taste is full, wide and velvety with a finish of spices and a hint of vanilla Awards: 2010 - Wine Enthusiast Magazine: 93 points2011 - James Suckling: 92 points 2011 - Wine Advocate: 92 points2012 - James Suckling: 92 points",https://www.winelistasia.com/store/p91/Ascheri_-_Barolo_%22Pisapola%22_DOCG_2019.html
Cantine Volpi - Dolcetto d'Alba DOC 2022,46,"Red, Dry, Still",100% Dolcetto,,,,"Piedmont, Italy",,,,12.50%,"Pair this wine with pizza, Bolognese sauces, veal scallopini, and chicken Kiev","Ruby red in color with violet tints Notes of juicy black cherries, black currants and violets On the palate, black cherries and sweet spices lead to a soft and lingering finish",https://www.winelistasia.com/store/p97/Cantine_Volpi_-_Dolcetto_d%27Alba_DOC_2022.html
Cantine Volpi - Barbera d'Asti Superiore DOC 2022,46,"Red, Dry, Still",100% Barbera,,,,"Piedmont, Italy",,,,13.00%,"Outstanding when served with roast beef, truffle-laden dishes, and medium-aged cheeses","Vivid ruby red in color Blackberry jam and ripe cherries followed by layers of chocolate, mocha, cassis, licorice, coffee liqueur and smoke Intensely flavorful and full-bodied with silky, polished tannins, all of which leads to a long, rich finish",https://www.winelistasia.com/store/p98/Cantine_Volpi_-_Barbera_d%27Asti_Superiore_DOC_2022.html
Cantine Volpi - Barbaresco DOCG 2021,90,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,13.00%,"Pairs well with slow-roasted beef, demi-glaces, grilled pork and apples, and Beef Wellington","Garnet red with slightly orange lights in the froth Intense and ethereal bouquet of plums, prunes, cinnamon, cocoa, tobacco, leather and spice Medium-bodied and rich with flavors of tart cherries, rose petals, and hints of truffles with a long, impressive finish",https://www.winelistasia.com/store/p99/Cantine_Volpi_-_Barbaresco_DOCG_2021.html
Cantine Volpi - Barolo DOCG 2020,102,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,13.00%,"Recommended with rich fare, such as truffle scented dishes, roast beef, fillet mignon and medium-aged cheeses","Intense ruby red in color, with garnet hues Cherries, plums, dried roses, minerals and spices surround a terrific concentration and depth Creamy and broad, racy and refined. The flavors explode with a supple and persistent roundness.",https://www.winelistasia.com/store/p100/Cantine_Volpi_-_Barolo_DOCG_2020.html
Peter Zemmer - Schiava Gentile DOC 2020,53,"Red, Dry, Still",100% Schiava,,,,"Alto Adige, Italy",,,,12.50%,"Appetizers, smoked and cured meats, grilled or broiled meats, mild cheese","Light ruby to ruby red Fresh, pleasant, fruity, characteristic of the varietal Lively, dry, mild, harmonious, with light tones of bitter almonds",https://www.winelistasia.com/store/p109/Peter_Zemmer_-_Schiava_Gentile_DOC_2020.html
"Peter Zemmer - Lagrein Alto Adige ""Raut"" DOC 2021",59,"Red, Dry, Still",100% Lagrein,,,,"Alto Adige, Italy",,,,13.00%,"Red meats, roast, game, and hard cheeses","Ruby red to garnet red Intense, complex, spicy aroma, with a fresh perfume of wild berries and violets Very harmonious with a good lashing of tannin, a soft, velvety, round body with a light spicy finish",https://www.winelistasia.com/store/p112/Peter_Zemmer_-_Lagrein_Alto_Adige_%22Raut%22_DOC_2021.html
